,Accuracy,Essential,Nonessential,label,Precision,Recall,F1,MCC
0,0.9530304549861265,0.7838387950335843,0.98628,Random Forest,0.9587075702787822,0.98628,0.97229834973087,0.8217881163386448
0,0.9329333333333333,0.6446,0.9906,Random Forest,0.9330495064426192,0.9906,0.9609638741220752,0.7412866502585345
0,0.9448333333333333,0.765,0.9808,Random Forest,0.9542712589998054,0.9808,0.9673537824243021,0.7928052120572813
0,0.9666445182724253,0.891,0.9817131474103585,Random Forest,0.9783609942031287,0.9817131474103585,0.9800342043511117,0.8788124603314363
0,0.9469,0.7608,0.98412,Random Forest,0.9536416140160471,0.98412,0.9686411149825784,0.7999942473884184
0,0.9409634551495016,0.7454,0.9799203187250995,Random Forest,0.9507905214735785,0.9799203187250995,0.9651356707017992,0.7766768732356426
0,0.9618604651162791,0.8356,0.987011952191235,Random Forest,0.9678856071261135,0.987011952191235,0.9773552154016096,0.8582852253236455
0,0.9440666666666667,0.74,0.98488,Random Forest,0.9498495486459378,0.98488,0.9670476414909077,0.7882486943146652
0,0.9499666666666666,0.7996,0.98004,Random Forest,0.9607105046465122,0.98004,0.9702789933271291,0.8139393407687162
0,0.9393687707641196,0.7196,0.9831474103585658,Random Forest,0.9462402699490011,0.9831474103585658,0.9643408429238555,0.7687915709681107
0,0.9696333333333333,0.8762,0.98832,Random Forest,0.9755596793935326,0.98832,0.9818983845649453,0.8884649214965762
0,0.9369,0.7396,0.97636,Random Forest,0.9493601960250476,0.97636,0.9626708209264262,0.7622654902568159
0,0.943953488372093,0.7222,0.9881274900398407,Random Forest,0.9469665152151503,0.9881274900398407,0.9671092394377181,0.7864508928651986
0,0.9397333333333333,0.708,0.98608,Random Forest,0.9440870098039216,0.98608,0.9646267021443106,0.7701606763009012
0,0.9436666666666667,0.7694,0.97852,Random Forest,0.9549890693316677,0.97852,0.9666113481902956,0.789076706551481
0,0.9512333333333334,0.76,0.98948,Random Forest,0.9537340478852604,0.98948,0.9712782456760312,0.8162661226799969
0,0.9500666666666666,0.7308,0.99392,Random Forest,0.9486141864549134,0.99392,0.9707387584482556,0.8115026634828529
0,0.9410624143349046,0.7642987991044169,0.9758,Random Forest,0.9546824247642155,0.9758,0.9651257096512571,0.7770856583072432
0,0.9499333333333333,0.763,0.98732,Random Forest,0.954190505644039,0.98732,0.9704725957379885,0.811409235941767
0,0.9414666666666667,0.8584,0.95808,Random Forest,0.9712895377128954,0.95808,0.9646395489327426,0.7954875607323566
0,0.9529970247049778,0.8064319153266843,0.9818,Random Forest,0.962700031377471,0.9818,0.9721562103929025,0.8231854335971016
0,0.9329235880398671,0.6902,0.9812749003984064,Random Forest,0.9408304366094962,0.9812749003984064,0.9606271573158603,0.7424662188614745
0,0.9458333333333333,0.7116,0.99268,Random Forest,0.9450854944971248,0.99268,0.9682982500634035,0.7944515494036879
0,0.9435333333333333,0.7238,0.98748,Random Forest,0.9470231701703238,0.98748,0.9668285423357093,0.785479749592533
0,0.9526910299003323,0.8134,0.9804382470119521,Random Forest,0.9634719285882076,0.9804382470119521,0.9718810473520003,0.8242126419217295
0,0.9449403269481497,0.7510685935273763,0.98304,Random Forest,0.9525950618241017,0.98304,0.9675781019311404,0.789714504096279
0,0.9417275747508306,0.7116,0.9875697211155379,Random Forest,0.9450247807853602,0.9875697211155379,0.9658289499318138,0.7774095067043055
0,0.9430013706415271,0.7524933848972115,0.98044,Random Forest,0.9527344812842539,0.98044,0.9663887081830189,0.7827331103464256
0,0.9409,0.7638,0.97632,Random Forest,0.9538473562859041,0.97632,0.9649528553638143,0.7788645916647544
0,0.9652333333333334,0.8618,0.98592,Random Forest,0.9727297841272347,0.98592,0.9792804783567413,0.8721137800769849
0,0.9413666666666667,0.7388,0.98188,Random Forest,0.9494836189223688,0.98188,0.9654101036320374,0.7781708989975039
0,0.9284666666666667,0.6812,0.97792,Random Forest,0.9387911834728515,0.97792,0.9579561929391481,0.7258459102152081
0,0.9370842108782135,0.7185019336454305,0.98004,Random Forest,0.9465693092257765,0.98004,0.9630139140004716,0.7580913463452941
0,0.9564119601328903,0.805,0.9865737051792829,Random Forest,0.9621182687077473,0.9865737051792829,0.9741925331444982,0.8369181631789518
0,0.9487666666666666,0.7834,0.98184,Random Forest,0.957743181552148,0.98184,0.9696419048371486,0.8083444032944404
0,0.9292,0.6868,0.97768,Random Forest,0.9397877576130421,0.97768,0.9583594730238394,0.7291018088962805
0,0.9269,0.72,0.96828,Random Forest,0.9453274495255204,0.96828,0.9566660738632995,0.7255380679190558
0,0.9300666666666667,0.708,0.97448,Random Forest,0.9434590659127875,0.97448,0.9587186651450159,0.7346251277331717
0,0.9334403102330091,0.6859352737634846,0.98208,Random Forest,0.9408698984479785,0.98208,0.9610333692142088,0.7417083466017881
0,0.9462666666666667,0.7432,0.98688,Random Forest,0.9505316689782709,0.98688,0.9683648638040663,0.79671134547546
0,0.954367666232073,0.7838387950335843,0.98788,Random Forest,0.9587716914476494,0.98788,0.9731082172619634,0.8268080916990835
0,0.9475227401459367,0.7417056788113169,0.9878087649402391,Random Forest,0.9513102866132065,0.9878087649402391,0.9692160350253113,0.7984236413603618
0,0.9522133297911202,0.7478119275391818,0.9920634920634921,Random Forest,0.9527802126605435,0.9920634920634921,0.9720251171290266,0.816542518131287
0,0.9449737572292983,0.7447588031752493,0.98432,Random Forest,0.9515118706983219,0.98432,0.9676379222209115,0.7894155612420184
0,0.9320598006644518,0.6804,0.9821912350597609,Random Forest,0.939126128528437,0.9821912350597609,0.96017604330977,0.7384492742253029
0,0.9537873754152824,0.7682,0.9907569721115538,Random Forest,0.9554693203212049,0.9907569721115538,0.9727932403622352,0.8257902611407745
0,0.9679333333333333,0.837,0.99412,Random Forest,0.9682484026803803,0.99412,0.981013657535328,0.8812081405382913
0,0.9444,0.7864,0.976,Random Forest,0.9580650227736768,0.976,0.9669493540461283,0.7934060776661389
0,0.9388968219705774,0.8280073274984734,0.960515873015873,Random Forest,0.9662674650698603,0.960515873015873,0.9633830845771144,0.7790768500366854
0,0.9444333333333333,0.7672,0.97988,Random Forest,0.9546393359572892,0.97988,0.9670950040465052,0.7915721450085482
0,0.9354194407456724,0.7091633466135459,0.9808153477218226,FBA,0.9438461538461539,0.9808153477218226,0.9619756958055664,0.7544906031426245
0,0.8333333333333334,0.0,1.0,Naive,0.8333333333333334,1.0,0.9090909090909091,0.0
