,orf,label,growth,status
0,Q0045,1,0.012903552932025159,optimal
1,Q0080,1,0.031930526183580034,optimal
2,Q0085,1,0.03193052618147247,optimal
3,Q0105,1,0.012966816583218459,optimal
4,Q0130,1,0.0319305261814716,optimal
5,Q0250,1,0.012903558849516427,optimal
6,Q0275,1,0.012903556287949057,optimal
7,YAL012W,1,0.0859075489964062,optimal
8,YAL022C,1,0.08590754899640722,optimal
9,YAL023C,1,0.085907548996407,optimal
10,YAL026C,1,0.08590751899387791,optimal
11,YAL035W,1,0.08590751899388004,optimal
12,YAL038W,0,0.08590754899640686,optimal
13,YAL039C,1,0.08590751899387934,optimal
14,YAL044C,1,0.08589933905762326,optimal
15,YAL054C,1,0.08590754899640686,optimal
16,YAL060W,1,0.08590754899640635,optimal
17,YAL062W,1,0.08590751899387976,optimal
18,YAR015W,1,-6.641291450773874e-14,optimal
19,YAR035W,1,0.08590754899640753,optimal
20,YAR071W,1,0.08590754899640674,optimal
21,YBL011W,1,0.08590754899640675,optimal
22,YBL013W,1,0.08590754899640726,optimal
23,YBL015W,1,0.08590751899387968,optimal
24,YBL030C,0,0.08590751899387955,optimal
25,YBL033C,1,0.0,optimal
26,YBL039C,1,0.08590751899387936,optimal
27,YBL042C,1,0.08590751899387776,optimal
28,YBL045C,1,0.012966816738424931,optimal
29,YBL064C,1,0.0859075189938789,optimal
30,YBL068W,1,0.0859075489964066,optimal
31,YBL076C,0,0.0,optimal
32,YBL080C,1,0.08590754899640746,optimal
33,YBL091C,1,0.08590754899640758,optimal
34,YBL098W,1,4.916550623392688e-14,optimal
35,YBL099W,1,0.03193052618147143,optimal
36,YBR001C,1,0.08590751899387895,optimal
37,YBR002C,0,0.085907548996407,optimal
38,YBR003W,1,0.08590754899640661,optimal
39,YBR004C,0,0.08590754899640733,optimal
40,YBR006W,1,0.08590754899640692,optimal
41,YBR011C,0,0.08590754899640797,optimal
42,YBR018C,1,0.08590754899640715,optimal
43,YBR019C,1,0.08590754899640723,optimal
44,YBR020W,1,0.08590751899387829,optimal
45,YBR021W,1,0.08590751899387791,optimal
46,YBR022W,1,0.08590751899387944,optimal
47,YBR023C,1,0.08590754899640606,optimal
48,YBR026C,1,0.08590751899387968,optimal
49,YBR029C,0,0.0,optimal
50,YBR034C,1,0.08590754899640599,optimal
51,YBR035C,1,0.0859075489964076,optimal
52,YBR036C,1,0.08590754899640785,optimal
53,YBR038W,0,0.0859075489964068,optimal
54,YBR039W,1,0.03193052618147123,optimal
55,YBR041W,1,0.08590754899640682,optimal
56,YBR042C,1,0.08590751899387832,optimal
57,YBR046C,1,0.08590751899387776,optimal
58,YBR058C-A,1,0.08590754899640682,optimal
59,YBR068C,1,0.0859075489964067,optimal
60,YBR069C,1,0.08590754899640694,optimal
61,YBR070C,0,0.08590754899640682,optimal
62,YBR084W,1,0.08590751899387872,optimal
63,YBR085W,1,0.08590751899387776,optimal
64,YBR092C,1,0.0859075189938787,optimal
65,YBR093C,1,0.08590754899640735,optimal
66,YBR097W,1,0.08590754899640811,optimal
67,YBR110W,0,0.08590751899388138,optimal
68,YBR111C,1,0.0859075189938785,optimal
69,YBR115C,1,-3.1660611431000104e-17,optimal
70,YBR117C,1,0.08590754899640707,optimal
71,YBR121C,1,0.0859075489964063,optimal
72,YBR126C,1,-2.731092951568112e-17,optimal
73,YBR127C,1,0.08590754899640712,optimal
74,YBR128C,1,0.08590751899387902,optimal
75,YBR132C,1,0.08590754899640675,optimal
76,YBR145W,1,0.0859075489964061,optimal
77,YBR147W,1,0.08590754899640686,optimal
78,YBR149W,1,0.0859075489964084,optimal
79,YBR153W,0,0.0,optimal
80,YBR159W,1,0.0859075489964053,optimal
81,YBR161W,1,0.08590754899640768,optimal
82,YBR166C,1,1.4339371425291412e-17,optimal
83,YBR176W,1,-7.571915631660645e-13,optimal
84,YBR177C,1,0.08590751899387929,optimal
85,YBR180W,1,0.08590754899640797,optimal
86,YBR183W,1,0.08590754899640674,optimal
87,YBR192W,0,0.0859075189938789,optimal
88,YBR196C,0,0.08590754899640737,optimal
89,YBR199W,1,0.08590754899640697,optimal
90,YBR204C,1,0.08590754899640717,optimal
91,YBR205W,1,0.0859075489964069,optimal
92,YBR208C,1,0.08590754899640672,optimal
93,YBR213W,1,0.08590751899387955,optimal
94,YBR218C,1,0.0859075189938784,optimal
95,YBR221C,1,0.08451018998980529,optimal
96,YBR222C,1,0.08590754899640712,optimal
97,YBR229C,1,0.08590754899640571,optimal
98,YBR235W,1,0.08590754899640761,optimal
99,YBR243C,0,0.08590754899640671,optimal
100,YBR244W,1,0.08590751899387927,optimal
101,YBR248C,1,0.0,optimal
102,YBR249C,1,0.08590754899640646,optimal
103,YBR252W,0,0.08590751899387876,optimal
104,YBR256C,0,0.0,optimal
105,YBR263W,1,0.08590131967992376,optimal
106,YBR265W,0,0.08590751899387986,optimal
107,YBR281C,1,0.08590754899640737,optimal
108,YBR291C,1,0.08582522013187387,optimal
109,YBR293W,1,0.08590754899640832,optimal
110,YBR294W,1,0.08590751899387901,optimal
111,YBR295W,1,0.0859075489964053,optimal
112,YBR296C,1,0.0859075189938784,optimal
113,YBR298C,1,0.08590754899640722,optimal
114,YBR299W,1,0.0859075489964075,optimal
115,YCL004W,1,0.08590754899640717,optimal
116,YCL005W-A,1,0.08590754899640604,optimal
117,YCL009C,1,0.08590751899387908,optimal
118,YCL017C,0,0.08590751899387955,optimal
119,YCL018W,1,0.0,optimal
120,YCL025C,1,0.08590751899387952,optimal
121,YCL030C,1,0.0,optimal
122,YCL035C,1,0.08590754899640692,optimal
123,YCL038C,1,0.08590754899640811,optimal
124,YCL040W,1,0.08590751899387776,optimal
125,YCL047C,1,0.08590754899640642,optimal
126,YCL050C,1,0.08588995956978823,optimal
127,YCL052C,0,0.08590751899388024,optimal
128,YCL064C,1,0.08590751899387901,optimal
129,YCL069W,1,0.08590754899640776,optimal
130,YCR005C,1,0.08590754899640755,optimal
131,YCR010C,1,0.08590754899640694,optimal
132,YCR011C,1,0.08590754899640629,optimal
133,YCR012W,0,0.07720353393657824,optimal
134,YCR024C,1,0.08590751899387968,optimal
135,YCR024C-A,1,0.08590754899640678,optimal
136,YCR028C,1,0.08590754899640801,optimal
137,YCR034W,1,0.08590751899387776,optimal
138,YCR036W,1,0.08590754899640764,optimal
139,YCR037C,1,0.08590754899640671,optimal
140,YCR048W,1,0.08590754899640748,optimal
141,YCR053W,1,0.0,optimal
142,YCR068W,1,0.08590751899387929,optimal
143,YCR075C,1,0.08590754899640811,optimal
144,YCR083W,1,0.08590754899640722,optimal
145,YCR098C,1,0.0859075189938785,optimal
146,YCR105W,1,0.08590754899640758,optimal
147,YCR107W,1,0.0859075189938789,optimal
148,YDL004W,0,0.031930526181472366,optimal
149,YDL015C,0,0.08590754899640672,optimal
150,YDL022W,1,0.08590754899640721,optimal
151,YDL024C,1,0.08590751500290918,optimal
152,YDL040C,1,0.08590751899387876,optimal
153,YDL042C,1,0.08590754899640776,optimal
154,YDL045C,0,0.0,optimal
155,YDL052C,1,0.085907548996409,optimal
156,YDL055C,0,0.0,optimal
157,YDL066W,1,0.08579170523694643,optimal
158,YDL067C,1,0.012903560471841564,optimal
159,YDL078C,1,0.08590751899387854,optimal
160,YDL080C,1,0.08590751899387956,optimal
161,YDL085W,1,0.08590751899388004,optimal
162,YDL090C,1,0.08590754899640689,optimal
163,YDL093W,1,0.08590754899640758,optimal
164,YDL095W,1,0.0859075489964077,optimal
165,YDL100C,1,0.08590754056215238,optimal
166,YDL103C,0,0.0859075489964077,optimal
167,YDL120W,0,0.08590754899640694,optimal
168,YDL131W,1,0.0859075189938789,optimal
169,YDL141W,0,-1.1451926214451464e-16,optimal
170,YDL142C,1,0.08590754899640797,optimal
171,YDL166C,0,0.08590515447949047,optimal
172,YDL168W,1,0.08590751899387783,optimal
173,YDL171C,1,0.08590751899387927,optimal
174,YDL174C,1,0.0859075489964061,optimal
175,YDL178W,1,0.08590754899640682,optimal
176,YDL182W,1,0.08590754899640755,optimal
177,YDL185W,1,0.08590754899640757,optimal
178,YDL198C,1,0.08590754899640712,optimal
179,YDL205C,0,7.0165425455107e-17,optimal
180,YDL210W,1,0.08590751899387934,optimal
181,YDL215C,1,0.08590751899387776,optimal
182,YDL219W,1,0.08590751899387981,optimal
183,YDL236W,1,0.0859075189938793,optimal
184,YDL238C,1,0.08590754899640712,optimal
185,YDL243C,1,0.08590754899640521,optimal
186,YDL245C,1,0.08590754899640758,optimal
187,YDL247W,1,0.08590754899640801,optimal
188,YDR001C,1,0.08590754899640679,optimal
189,YDR007W,1,1.751112614541483e-17,optimal
190,YDR009W,1,0.08590754899640721,optimal
191,YDR017C,1,0.08590751899387908,optimal
192,YDR019C,1,0.08589933905762423,optimal
