,knockout,essential,call,growth,true_label,score
0,100767749,0,1,0.03236891404823238,0,0.03236891404823238
1,100751391,0,1,0.032368914048232375,0,0.032368914048232375
2,100751442,0,1,0.03236891404823237,0,0.03236891404823237
3,100757635,0,0,0.0,0,0.0
4,100753545,0,0,2.2896409365287197e-18,0,2.2896409365287197e-18
5,100770052,0,1,0.03236891404823238,0,0.03236891404823238
6,100770125,0,1,0.03236891404823238,0,0.03236891404823238
7,100770133,0,1,0.03236891404823238,0,0.03236891404823238
8,100768097,0,1,0.03236891404823238,0,0.03236891404823238
9,100757923,0,1,0.03236891404823241,0,0.03236891404823241
10,100768179,0,1,0.03236891404823237,0,0.03236891404823237
11,100768213,0,0,1.0953483201357705e-17,0,1.0953483201357705e-17
12,100766178,0,0,0.0,0,0.0
13,100766192,0,1,0.03236891404823238,0,0.03236891404823238
14,103160361,0,1,0.03236891404823238,0,0.03236891404823238
15,100768321,0,1,0.027391526129873126,0,0.027391526129873126
16,100760139,0,1,0.03236891404823238,0,0.03236891404823238
17,100760149,0,1,0.0230768813713063,0,0.0230768813713063
18,100772460,0,1,0.032368914048232535,0,0.032368914048232535
19,100756090,0,0,-1.829478439383701e-17,0,-1.829478439383701e-17
20,100774627,0,1,0.03236891404823238,0,0.03236891404823238
21,100754156,0,0,0.0,0,0.0
22,100774671,0,0,4.989486652864645e-18,0,4.989486652864645e-18
23,100752162,0,1,0.03236891404823238,0,0.03236891404823238
24,100754221,0,1,0.03236891404823238,0,0.03236891404823238
25,100754223,0,1,0.032368914048232424,0,0.032368914048232424
26,100770670,0,1,0.027391526129873098,0,0.027391526129873098
27,100756398,0,1,0.027391526129873184,0,0.027391526129873184
28,100756415,0,1,0.03236891404823238,0,0.03236891404823238
29,100770830,0,1,0.03236891404823238,0,0.03236891404823238
30,100754476,0,1,0.03236891404823238,0,0.03236891404823238
31,100689016,0,0,0.0,0,0.0
32,100764834,0,0,5.714111520869325e-18,0,5.714111520869325e-18
33,100689060,0,0,-1.883342011014782e-15,0,-1.883342011014782e-15
34,100689098,0,1,0.03236891404823238,0,0.03236891404823238
35,100758749,0,1,0.03236891404823238,0,0.03236891404823238
36,100771066,0,1,0.03236891404823238,0,0.03236891404823238
37,100752642,0,1,0.03236891404823234,0,0.03236891404823234
38,100773134,0,1,0.03236891404823239,0,0.03236891404823239
39,100762904,0,0,-6.545674828654076e-17,0,-6.545674828654076e-17
40,100754714,0,1,0.032368914048232375,0,0.032368914048232375
41,100689192,0,0,3.0366187167364723e-17,0,3.0366187167364723e-17
42,100756805,0,1,0.03236891404823238,0,0.03236891404823238
43,100756809,0,1,0.03236891404823238,0,0.03236891404823238
44,100769100,0,1,0.032368914048232375,0,0.032368914048232375
45,100765024,0,1,0.03236891404823238,0,0.03236891404823238
46,100754811,0,1,0.03236891404823238,0,0.03236891404823238
47,100756894,0,1,0.03236891404823238,0,0.03236891404823238
48,100689330,0,1,0.03236891404823238,0,0.03236891404823238
49,100763079,0,1,0.027391526129873132,0,0.027391526129873132
50,100773325,0,1,0.03236891404823238,0,0.03236891404823238
51,100750801,0,0,-8.407032233431135e-18,0,-8.407032233431135e-18
52,100689360,0,1,0.03236891404823238,0,0.03236891404823238
53,100759002,0,1,0.027391526129873178,0,0.027391526129873178
54,100765199,0,1,0.032368914048232375,0,0.032368914048232375
55,100689437,0,1,0.03236891404823238,0,0.03236891404823238
56,100689446,0,1,0.02307688137129656,0,0.02307688137129656
57,100689449,0,0,2.8632685974885323e-18,0,2.8632685974885323e-18
58,100689450,0,1,0.03236891404823238,0,0.03236891404823238
59,100750969,0,1,0.03236891404823238,0,0.03236891404823238
60,100773563,0,1,0.032368914048232375,0,0.032368914048232375
61,100765390,0,1,0.03236891404823238,0,0.03236891404823238
62,100767445,0,1,0.03236891404823238,0,0.03236891404823238
63,100767451,0,1,0.032368914048232375,0,0.032368914048232375
64,100751073,0,0,0.0,0,0.0
65,100753139,0,0,0.0,0,0.0
66,100757242,0,1,0.03236891404823236,0,0.03236891404823236
67,100767488,0,1,0.03236891404823239,0,0.03236891404823239
68,100751113,0,1,0.03236891404823238,0,0.03236891404823238
69,100769548,0,1,0.03236891404823238,0,0.03236891404823238
70,103161641,0,1,0.03236891404823238,0,0.03236891404823238
71,100771700,0,0,1.6814861534760227e-14,0,1.6814861534760227e-14
72,100753284,0,1,0.03236891404823238,0,0.03236891404823238
73,100751282,0,0,2.5475423843076223e-18,0,2.5475423843076223e-18
74,100757472,0,1,0.03236891404823238,0,0.03236891404823238
75,100765669,0,1,0.03236891404823238,0,0.03236891404823238
76,100767723,0,0,4.462347978988762e-17,0,4.462347978988762e-17
77,100761595,0,1,0.03236891404823238,0,0.03236891404823238
78,100753418,1,1,0.03236891404823238,1,0.03236891404823238
79,100769865,1,1,0.03236891404823238,1,0.03236891404823238
80,100761676,1,1,0.032368914048232375,1,0.032368914048232375
81,100753500,1,1,0.03236891404823238,1,0.03236891404823238
82,100761706,1,1,0.03236891404823238,1,0.03236891404823238
83,100761707,1,1,0.032368914048232375,1,0.032368914048232375
84,100761743,1,1,0.032368914048232375,1,0.032368914048232375
85,100753604,1,1,0.03236891404823238,1,0.03236891404823238
86,100770034,1,1,0.03236891404823238,1,0.03236891404823238
87,100761890,1,1,0.03236891404823239,1,0.03236891404823239
88,100770105,1,1,0.03236891404823238,1,0.03236891404823238
89,100753739,1,1,0.032368914048232375,1,0.032368914048232375
90,100753783,1,1,0.03236891404823238,1,0.03236891404823238
91,100762019,1,1,0.03236891404823238,1,0.03236891404823238
92,100753849,1,1,0.03236891404823238,1,0.03236891404823238
93,100762089,1,1,0.03236891404823238,1,0.03236891404823238
94,100770310,1,1,0.03236891404823239,1,0.03236891404823239
95,100762127,1,1,0.03236891404823237,1,0.03236891404823237
96,100770342,1,1,0.03236891404823239,1,0.03236891404823239
97,100770352,1,0,-7.418232009385213e-18,1,-7.418232009385213e-18
98,100762184,1,1,0.03236891404823238,1,0.03236891404823238
99,100762198,1,1,0.03236891404823238,1,0.03236891404823238
100,100762253,1,1,0.03236891404823238,1,0.03236891404823238
101,100754164,1,1,0.03236891404823238,1,0.03236891404823238
102,100754177,1,1,0.03236891404823238,1,0.03236891404823238
103,100770590,1,1,0.032368914048232396,1,0.032368914048232396
104,100770628,1,1,0.03236891404823238,1,0.03236891404823238
105,100770660,1,1,0.032368914048232375,1,0.032368914048232375
106,100762480,1,1,0.03236891404823238,1,0.03236891404823238
107,107979660,1,1,0.03236891404823238,1,0.03236891404823238
108,100770708,1,1,0.03236891404823238,1,0.03236891404823238
109,100754380,1,1,0.032368914048232375,1,0.032368914048232375
110,100762572,1,1,0.032368914048232375,1,0.032368914048232375
111,100754404,1,1,0.03236891404823238,1,0.03236891404823238
112,100770803,1,1,0.03236891404823238,1,0.03236891404823238
113,100754434,1,1,0.03236891404823238,1,0.03236891404823238
114,103162885,1,0,0.0,1,0.0
115,100762689,1,1,0.03236891404823239,1,0.03236891404823239
116,100754527,1,1,0.03236891404823239,1,0.03236891404823239
117,100770922,1,1,0.03236891404823238,1,0.03236891404823238
118,100689019,1,1,0.032368914048232375,1,0.032368914048232375
119,100689022,1,1,0.03236891404823238,1,0.03236891404823238
120,100689020,1,1,0.03236891404823238,1,0.03236891404823238
121,100689106,1,1,0.03236891404823238,1,0.03236891404823238
122,100762838,1,1,0.03236891404823238,1,0.03236891404823238
123,100771064,1,1,0.032368914048232375,1,0.032368914048232375
124,100762873,1,1,0.03236891404823239,1,0.03236891404823239
125,100762894,1,1,0.032368914048232375,1,0.032368914048232375
126,100754712,1,1,0.03236891404823238,1,0.03236891404823238
127,100689187,1,1,0.03236891404823238,1,0.03236891404823238
128,100771144,1,1,0.03236891404823239,1,0.03236891404823239
129,100771171,1,1,0.03236891404823237,1,0.03236891404823237
130,100754813,1,1,0.03236891404823238,1,0.03236891404823238
131,100689278,1,1,0.032368914048232396,1,0.032368914048232396
132,100689317,1,1,0.03236891404823238,1,0.03236891404823238
133,100689320,1,1,0.03236891404823238,1,0.03236891404823238
134,100771243,1,1,0.03236891404823237,1,0.03236891404823237
135,100754874,1,1,0.03236891404823238,1,0.03236891404823238
136,100689344,1,1,0.032368914048232375,1,0.032368914048232375
137,100689348,1,1,0.03236891404823245,1,0.03236891404823245
138,100771266,1,1,0.03236891404823238,1,0.03236891404823238
139,100771284,1,1,0.03236891404823238,1,0.03236891404823238
140,100689373,1,1,0.03236891404823235,1,0.03236891404823235
141,100689380,1,1,0.03236891404823238,1,0.03236891404823238
142,100689394,1,1,0.03236891404823238,1,0.03236891404823238
143,100689404,1,1,0.03236891404823238,1,0.03236891404823238
144,100689407,1,1,0.03236891404823238,1,0.03236891404823238
145,100754943,1,1,0.03236891404823239,1,0.03236891404823239
146,100763159,1,1,0.03236891404823238,1,0.03236891404823238
147,100771350,1,1,0.03236891404823239,1,0.03236891404823239
148,100689464,1,1,0.03236891404823238,1,0.03236891404823238
149,100771387,1,1,0.03236891404823239,1,0.03236891404823239
150,100755007,1,1,0.03236891404823237,1,0.03236891404823237
151,100763214,1,1,0.03236891404823234,1,0.03236891404823234
152,100755033,1,1,0.03236891404823238,1,0.03236891404823238
153,100755056,1,1,0.032368914048232375,1,0.032368914048232375
154,107980432,1,1,0.03236891404823239,1,0.03236891404823239
155,100771487,1,1,0.03236891404823238,1,0.03236891404823238
156,100771541,1,1,0.03236891404823238,1,0.03236891404823238
157,100771587,1,1,0.03236891404823238,1,0.03236891404823238
158,100771637,1,1,0.03236891404823238,1,0.03236891404823238
159,100763478,1,1,0.03236891404823238,1,0.03236891404823238
