,Unnamed: 0,model,number_of_genes,number_of_reactions,nullity,id
233,0,322_B/Seed546267.4.796.xml,570,1197,233,Seed546267
234,0,322_B/Seed391037.3.796.xml,957,1529,336,Seed391037
235,0,322_B/Seed526980.3.796.xml,1118,1919,446,Seed526980
236,0,322_B/Seed634453.3.796.xml,712,1452,300,Seed63445
237,0,322_B/Seed380749.4.796.xml,470,943,138,Seed380749
238,0,322_B/Seed167555.5.796.xml,512,1049,190,Seed167555
239,0,322_B/Seed360106.5.796.xml,524,1249,242,Seed360106
240,0,322_B/Seed526994.3.796.xml,1162,1954,457,Seed526994
241,0,322_B/Seed637380.6.796.xml,1154,1889,444,Seed637380
242,0,322_B/Seed78245.7.796.xml,1087,1630,355,Seed78245
243,0,322_B/Seed380394.3.796.xml,607,1121,196,Seed380394
